Day,Hour,count
Mon,0,35890
Mon,1,22814
Mon,2,17241
Mon,3,13836
Mon,4,12617
Mon,5,10076
Mon,6,11871
Mon,7,19462
Mon,8,32787
Mon,9,35241
Mon,10,36166
Mon,11,34111
Mon,12,47761
Mon,13,39217
Mon,14,44358
Mon,15,51612
Mon,16,47313
Mon,17,47497
Mon,18,48399
Mon,19,45903
Mon,20,44773
Mon,21,39311
Mon,22,35879
Mon,23,31715
Tue,0,33990
Tue,1,21345
Tue,2,16012
Tue,3,12416
Tue,4,10579
Tue,5,8987
Tue,6,11675
Tue,7,19661
Tue,8,32777
Tue,9,35411
Tue,10,35569
Tue,11,36589
Tue,12,50376
Tue,13,43960
Tue,14,49889
Tue,15,56603
Tue,16,53215
Tue,17,52292
Tue,18,53866
Tue,19,52105
Tue,20,50394
Tue,21,44782
Tue,22,41306
Tue,23,36436
Wed,0,37614
Wed,1,24258
Wed,2,17969
Wed,3,13776
Wed,4,11232
Wed,5,9109
Wed,6,12294
Wed,7,20341
Wed,8,33529
Wed,9,35611
Wed,10,35431
Wed,11,36907
Wed,12,51535
Wed,13,45444
Wed,14,52068
Wed,15,58161
Wed,16,54032
Wed,17,53392
Wed,18,54673
Wed,19,52800
Wed,20,50920
Wed,21,45725
Wed,22,41418
Wed,23,36790
Thu,0,37823
Thu,1,25026
Thu,2,19130
Thu,3,14820
Thu,4,12045
Thu,5,9640
Thu,6,12492
Thu,7,19896
Thu,8,32128
Thu,9,34771
Thu,10,35394
Thu,11,36707
Thu,12,50230
Thu,13,43812
Thu,14,49240
Thu,15,55844
Thu,16,52304
Thu,17,51609
Thu,18,52588
Thu,19,51286
Thu,20,50175
Thu,21,45459
Thu,22,42399
Thu,23,38376
Fri,0,41993
Fri,1,28376
Fri,2,22025
Fri,3,17869
Fri,4,14823
Fri,5,10770
Fri,6,13210
Fri,7,19571
Fri,8,32797
Fri,9,34799
Fri,10,34966
Fri,11,35876
Fri,12,50590
Fri,13,43270
Fri,14,50741
Fri,15,58039
Fri,16,54859
Fri,17,55689
Fri,18,56047
Fri,19,53442
Fri,20,53210
Fri,21,49791
Fri,22,49357
Fri,23,48494
Sat,0,49934
Sat,1,42867
Sat,2,37047
Sat,3,32660
Sat,4,29536
Sat,5,17788
Sat,6,13037
Sat,7,13254
Sat,8,19931
Sat,9,24821
Sat,10,28924
Sat,11,30301
Sat,12,42397
Sat,13,36214
Sat,14,39323
Sat,15,43179
Sat,16,43645
Sat,17,44789
Sat,18,46529
Sat,19,46169
Sat,20,48076
Sat,21,45422
Sat,22,45514
Sat,23,45659
Sun,0,46801
Sun,1,42309
Sun,2,36522
Sun,3,34485
Sun,4,31758
Sun,5,19543
Sun,6,12995
Sun,7,12215
Sun,8,17515
Sun,9,20785
Sun,10,24065
Sun,11,25778
Sun,12,36310
Sun,13,30891
Sun,14,34337
Sun,15,38163
Sun,16,38899
Sun,17,40015
Sun,18,42333
Sun,19,41087
Sun,20,41965
Sun,21,38675
Sun,22,36765
Sun,23,33330
