,Hour,LAW_CAT_CD,count
0,0,MISDEMEANOR,160755
1,1,MISDEMEANOR,121822
2,2,MISDEMEANOR,95951
3,3,MISDEMEANOR,79859
4,4,MISDEMEANOR,69873
5,5,MISDEMEANOR,47531
6,6,MISDEMEANOR,46243
7,7,MISDEMEANOR,64807
8,8,MISDEMEANOR,103697
9,9,MISDEMEANOR,114419
10,10,MISDEMEANOR,125783
11,11,MISDEMEANOR,130885
12,12,MISDEMEANOR,178833
13,13,MISDEMEANOR,161888
14,14,MISDEMEANOR,183036
15,15,MISDEMEANOR,205627
16,16,MISDEMEANOR,200885
17,17,MISDEMEANOR,201485
18,18,MISDEMEANOR,207764
19,19,MISDEMEANOR,202726
20,20,MISDEMEANOR,201029
21,21,MISDEMEANOR,180986
22,22,MISDEMEANOR,171441
23,23,MISDEMEANOR,157478
